Production_lid,Output_Voucher_No,Output_Voucher_Date,FG_name,Output_Item_Code,Output_Item_Name,Output_Batch_No,Output_Purity,Output_Recovery,Output_UOM,Output_Quantity,JobWork_Rate,JobWork_Value,Output_Rate,Output_Value
154867,SSM2223JWGRN00178,30/11/2022,"2,6 DIMETHOXY BENZOIC ACID",31000009,"2,6 DIMETHOXY BENZOIC ACID",#36-PII+37-PI/22,,,KGS,900.0,335.0,301500.0,2180.281,1962252.675
154868,SSM2223JWGRN00179,30/11/2022,"2,6 DIMETHOXY BENZOIC ACID",31000009,"2,6 DIMETHOXY BENZOIC ACID",#01/22(RP),,,KGS,900.0,1.0,900.0,2417.955,2176159.564
154869,SSM2223JWGRN00180,01/12/2022,"2,6 DIMETHOXY BENZOIC ACID",31000009,"2,6 DIMETHOXY BENZOIC ACID",#02(RP)+03(RP)/22,,,KGS,1800.0,1.0,1800.0,2318.526,4173345.954
169923,SSM2223JWGRN00244,02/12/2022,"2,6 DIMETHOXY BENZOIC ACID",31000009,"2,6 DIMETHOXY BENZOIC ACID",#37+38/22,,,KGS,1350.0,335.0,452250.0,1807.061,2439532.388
364237,SSM2324JWGRN00222,24/11/2023,"2,6 DIMETHOXY BENZOIC ACID",31000009,"2,6 DIMETHOXY BENZOIC ACID",#25(P-I)+26/23,0,0,KGS,0.0,0.0,0.0,0.0,0.0
194391,SSM2223JWGRN00324,31/01/2023,"2,6 DIMETHOXY BENZOIC ACID",31000009,"2,6 DIMETHOXY BENZOIC ACID",#52(P-II)+53+54(P-I),,,KGS,1832.0,335.0,613720.0,881.655,1615191.563
309018,SSM2324JWGRN00167,05/07/2023,"2,6 DIMETHOXY BENZOIC ACID",31000009,"2,6 DIMETHOXY BENZOIC ACID",#26(P-III)+27(P-I)/23,0,0,KGS,0.0,50.0,0.0,0.0,0.0
309066,SSM2324JWGRN00168,06/07/2023,"2,6 DIMETHOXY BENZOIC ACID",31000009,"2,6 DIMETHOXY BENZOIC ACID",#27(P-II)+28+BLEND01/23,0,0,KGS,0.0,50.0,0.0,0.0,0.0
309091,SSM2324JWGRN00169,06/07/2023,"2,6 DIMETHOXY BENZOIC ACID",31000009,"2,6 DIMETHOXY BENZOIC ACID",#29/23,0,0,KGS,900.0,335.0,301500.0,1413.587,1272228.616
309157,SSM2324JWGRN00170,18/07/2023,"2,6 DIMETHOXY BENZOIC ACID",31000009,"2,6 DIMETHOXY BENZOIC ACID",#30+31(P-I)/23,0,0,KGS,1800.0,335.0,603000.0,1470.975,2647755.011
